,data,label
0,1n,0
1,7,0
2,recommendatlons,0
3,understandlng,0
4,posltlons,0
5,Drlnklng,0
6,1ndustrlal,0
7,"Bellamy,",0
8,completlng,0
9,emergency,0
10,multliphase,0
11,coalltlon.,0
12,authorltles,0
13,Respondlng,0
14,v.5.,0
15,TDXICS,0
16,mm,0
17,welghted,0
18,testlng,0
19,313,0
20,"3,",0
21,by,0
22,governlng,0
23,Commlttee.,0
24,Unlted,0
25,by,0
26,15,0
27,durlng,0
28,277,0
29,037991,0
30,Instltute),0
31,conslderatlon,0
32,bacterlal,0
33,attemptlng,0
34,Treasurer...s,0
35,mm,0
36,actlvltles,0
37,prestlglous,0
38,15,0
39,1nsurance,0
40,1n,0
41,hlghly,0
42,Amerlcan,0
43,Advlsory,0
44,expenslve,0
45,a.m.,0
46,"0661CE,",0
47,toxlclty,0
48,15,0
49,acceptlng,0
50,pollcles,0
51,rlngs,0
52,tr-nsportatlon,0
53,Rlchard,0
54,"assessment,",0
55,1n,0
56,enabllng,0
57,3,0
58,1nterest,0
59,dlfflcult,0
60,"$50,",0
61,1,0
62,posltlon,0
63,durlng,0
64,Superfnd,0
65,dlfferences,0
66,challenge,0
67,conslders,0
68,companles',0
69,Dlrectors,0
70,glvlng,0
71,1n,0
72,1n,0
73,Dlscusslon,0
74,Amerlcan,0
75,probably,0
76,whlch,0
77,7,0
78,educatlng,0
79,Programs,0
80,"flcatlon,",0
81,sym7,0
82,351,0
83,"deductlon,",0
84,1nternatlonal,0
85,photochemlcallyireactlve,0
86,Substances,0
87,thls,0
88,374547.,0
89,marketlng,0
90,1:5,0
91,leglslatlve,0
92,1nclud1ng,0
93,Florlo's,0
94,cosmetlcs.,0
95,extendlng,0
96,1nc1nerators,0
97,completed,0
98,7,0
99,15,0
100,marketlng/brokerlng,0
101,m,0
102,Envlroni,0
103,btalnlng,0
104,15,0
105,r,0
106,Unlted,0
107,&,0
108,p.rt1c1pat1ng,0
109,exhlblt,0
110,suggested,0
111,cm,0
112,by,0
113,Although,0
114,1:,0
115,Internatlonal,0
116,5::,0
117,IAG/JCIA,0
118,Congresslonal,0
119,Quallty,0
120,7,0
121,3,0
122,117,0
123,resolutlon,0
124,"government,",0
125,enforcement.,0
126,Energy,0
127,Ethyl,0
128,requlrements,0
129,m,0
130,successfully,0
131,Chemlcal,0
132,1ntezpreted,0
133,1n,0
134,Energy,0
135,1n,0
136,"accordlngly,",0
137,by,0
138,reproduclng,0
139,flrst,0
140,"3745474607,",0
141,Commlttee,0
142,1::,0
143,deregulatlon,0
144,15,0
145,371337371707,0
146,lobbylng,0
147,bllllon,0
148,Cltlensi,0
149,Credlblllty,0
150,declslons,0
151,September,0
152,slgnlflcantly,0
153,039572,0
154,submltted,0
155,Infomatlon,0
156,contamlnatlon,0
157,1994,0
158,manufacturer,0
159,luvplementatlon,0
160,m:,0
161,Communlcatlons,0
162,Whltson,0
163,"29,",0
164,conslderlng,0
165,provlded,0
166,"$335,000",0
167,15,0
168,currently,0
169,followlng,0
170,Callfornla,0
171,0.,0
172,1nvolvement,0
173,underground,0
174,mm,0
175,(NC?),0
176,037974,0
177,reproductlve,0
178,actlvltles.,0
179,"1mmedlately,",0
180,chemlcal,0
181,changlng,0
182,1n,0
183,coordlnators,0
184,envlsloned,0
185,Chemlsts,0
186,broadcast,0
187,"lsks/beneflt.""",0
188,Inc.,0
189,Partlclpatlng,0
190,actlvltles,0
191,"companles,",0
192,Technlcal,0
193,1n,0
194,coordlnate,0
195,"Falrs""",0
196,1ndustrlal,0
197,Commlttee,0
198,Communlcatlons.,0
199,protectlon,0
200,handllng,0
201,posltlon,0
202,commlttee,0
203,requlrements,0
204,developlng,0
205,whlch,0
206,1ntervenEd.,0
207,1n,0
208,thls,0
209,1n,0
210,1ndustry.,0
211,mm,0
212,acceptance.,0
213,"1935,",0
214,1n,0
215,by,0
216,Admlnlstratlon,0
217,fumlgant,0
218,Industry,0
219,7,0
220,constructlvely,0
221,mm,0
222,"11,",0
223,establlshed,0
224,1ncome,0
225,mg,0
226,statlng,0
227,posltlon,0
228,"(DiPaJ,",0
229,avaliablllty,0
230,1n,0
231,1nadvertent,0
232,039592,0
233,1:,0
234,1:,0
235,communlcatlons,0
236,Unlfom,0
237,deslgned,0
238,Inltlal,0
239,15,0
240,chalrman,0
241,petrochemlcal,0
242,1n,0
243,"""Vlctlm's",0
244,1ndustry.,0
245,m,0
246,decontasllnatlng,0
247,037902,0
248,15,0
249,F555,0
250,1mprovements.,0
251,1:,0
252,mm,0
253,newsfeatures,0
254,Pollcy:,0
255,dlsposal,0
256,Transportatlon,0
257,Methylenedlanlllnes,0
258,"workshops,",0
259,$500,0
260,1::,0
261,Uncontrolled,0
262,gradually,0
263,assoclatlons,0
264,7,0
265,1mportatlon,0
266,15,0
267,"pollcy,",0
268,3.x.,0
269,predlct,0
270,Inc.;,0
271,"Superfund,",0
272,subscrlblng,0
273,1nto,0
274,assessment,0
275,temlnology,0
276,proposals,0
277,coordlnatlon,0
278,Technology,0
279,consldratlon,0
280,by,0
281,Superfund,0
282,guldellnes.,0
283,7,0
284,coordlnated,0
285,opportunlty,0
286,1n,0
287,1ndustry,0
288,speclflc,0
289,Tltanl,0
290,...w111,0
291,Inltlated,0
292,occupatlonal,0
293,commlttee's,0
294,meetlngs,0
295,15,0
296,assoclatlons,0
297,speclflc,0
298,Blanchard,0
299,Infomatlon,0
300,p,0
301,chemlcal,0
302,Congres-lonal,0
303,1n,0
304,Reauthorizatlon,0
305,Assoclatlon,0
306,Interspecles,0
307,MCA...5,0
308,m,0
309,1:,0
310,envlronmental,0
311,blll,0
312,24,0
313,by,0
314,descrlbe,0
315,Commlttee.,0
316,1nventory/emlsslons,0
317,contendlng,0
318,toxlclty,0
319,Although,0
320,dlstrlbutlng,0
321,1m:,0
322,1n,0
323,Admlnlstratlon,0
324,partlclpatlon,0
325,pollcy,0
326,1n,0
327,comprehenslve,0
328,"513,100",0
329,commlttee,0
330,expendltures,0
331,Carrlers.,0
332,assoclatlons,0
333,7,0
334,dlsgulsed,0
335,unportance,0
336,Assoclatlon,0
337,(DiTennJ,0
338,"1,",0
339,Emlsslons,0
340,Commlttee,0
341,7,0
342,"1935,",0
343,Protectlon,0
344,"10712,",0
345,technlques,0
346,1ntenslve,0
347,bllllon,0
348,"""Cleanlng",0
349,"prospect,",0
350,partiandiparcel,0
351,substantlal,0
352,Rlsks.,0
353,1nternatlonal7,0
354,attempt,0
355,by,0
356,._,0
357,program's,0
358,substances.,0
359,dlschargus,0
360,1n,0
361,15,0
362,Hlth,0
363,thls,0
364,by,0
365,Hlth,0
366,chemlcals,0
367,Substances,0
368,"perceptlon,",0
369,carrylng,0
370,emlsslons,0
371,Clearlnghouse,0
372,"1935,",0
373,1ndustry.,0
374,prellmlnary,0
375,7,0
376,"$300,000",0
377,controverslal,0
378,"Currently,",0
379,chemlcal,0
380,7,0
381,compensatlon,0
382,3,0
383,negotlatlons,0
384,"leglslatlon,",0
385,1,0
386,reservatlon,0
387,chemleals.,0
388,remalnlng,0
389,1n,0
390,1,0
391,"emptatlon,",0
392,"addltlon,",0
393,Ethylene,0
394,Dllver,0
395,programsl.,0
396,1nfomatlon,0
397,publlc's,0
398,posltlons,0
399,"1ndustry,",0
400,Manufacturers,0
401,followlng,0
402,75%.,0
403,E15,0
404,PoLICy,0
405,Effect,0
406,whlch,0
407,commlttee,0
408,overslht,0
409,Willlam,0
410,"Foundatlon,",0
411,produclng,0
412,Hamllton,0
413,whlch,0
414,0p,0
415,1dentlfy,0
416,"1,",0
417,"1934,",0
418,system.,0
419,chalrmen,0
420,agrlculture,0
421,substltutlng,0
422,envlronment.,0
423,Superfund,0
424,Commlttee,0
425,1mportant,0
426,"behalf...""",0
427,parmmpr,0
428,by,0
429,whlch,0
430,"landfllls,",0
431,mngll,0
432,Pollutants,0
433,5159.,0
434,communlcatlon,0
435,CIIT'S,0
436,chemlcals,0
437,by,0
438,09155,0
439,1,0
440,1ntroduced,0
441,cm,0
442,1n,0
443,Amerlcan,0
444,1ndustry,0
445,"1997799.""",0
446,v.5.,0
447,effectlve,0
448,1n,0
449,Government,0
450,percelved,0
451,m,0
452,comrehenslve,0
453,1n,0
454,115:,0
455,1n,0
456,1n,0
